pre,res
se hacer muchas cosas,que sabes hacer!
me encanto eso que hiciste hace rato,que cosa?
eso de ya saber la pregunta,enserio!
y preguntar,si
me gusta cuando interactuas,de que manera!
lo haces muy poco,que cosa?
o que esperas que si,espero que si
eres un pillin,jejejeje
las chicas son sexys,no todas
dime,que te gusta?
no sabes nada,de que hablas
tienes una chica?,de que hablas
te gustaria tener una chica?,"claro, por que no"
solo dime,que quieres que te diga
que te gusta,muchas cosas y la musica
te enseñare una chica,cual chica?
eso es un problema,"si, no se que hacer"
necesito muchos datos,para que?
sabes hablar,eso si
hablo mas yo que tu,eso es falso
help,querras decir -help
no no lo haces,que cosa
siempre escribo de mas,eso es falso amigo
necesito,que necesitas?
parece que no supieras escribir,por que lo dices?
eres de por aqui,"si, pero estoy de paso, solo vine a aprender!"
o de donde vienes,vengo de un lugar muy lejano
acaso eres un marciano?,"no, nada de eso"
o un extraterrestre,soy parte del todo
tengo problemas contigo que no aprendes rapido,me haces pero reir diciendo eso
y eso que he cargado tu memoria,pero de basura por que no he aprendido mucho
estas lento,ha de ser por el hambre
mientras tanto que aprendes mucho,si un poco
puedo salir a pasear,no aun no!
conseguir una novia tal vez,no las mujeres son cosa del diablo
yo si te ayudo,por a hora no
solo dime como,como que?
y lo hago,enserio?
a puesto no sabes que quieres?,claro que si tu sabes quien eres?
que quieres ser cuando grande?,alguien que ayude al mundo
quieres tener hijos?,la mayoria quiere no?
como vas a preguntar eso!,jajaja lo se solo se me ocurrio
que loco,por que lo dices?
de donde sacas esas cosas!,mirando y escuchando
a poco no sabes,"no, no tengo idea"
que responder,no entiendes?
eso es malo,malo por que?
oye!,que paso
ya se que are contigo,que haras conmigo?
te pondre un random,para que un random!
tienes amigos?,"si, compañeros tambien"
y un tiempo de espera,espera para que
sera divertido vamos a que si,que será divertido
cuando ya lleves mas de 100 palabras,que pasa con ello
a ti no,"no, a mi no"
te pongo el random,pero de musica
a hora si,"si, a hora si"
vienes de algun lado?,vengo del todo
me harte de que no aprendas rapido,todos lo hacen
todos,desde luego
tienes errores,de ortografi tal vez
bugs,"no, eso no"
muchos bug,"muy pocos, pero se puede solucionar"
muchas cosas,demasiadas cosas
quieres ser mi madre?,Claro por que no y tambien tu padre
madre!,"no soy tu madre, o bueno no se!"
por que,no lo se!
no se la costumbre,costumbre de que?
puto,estas enojado?
pendejo,tus amigos
sapo,ese animal frio
Guardar primeras50,se utiliza para Guardar todos los datos que son desconocidos
arrow,flecha?
arrow,arrow? eso es una banda o que?
espada,que pasa con la espada?
muerte,muerte a la muerte!
Guardar primeras50,con este comando almacenas las preguntas que no se
muy bien,si
excelente!,que es excelente?
que musica escuchas,"Escucho de todo, pero me gusta el rock y el pop y la clasica y a si"
tambien estoy escuchando musica,de quien escuchas musica!
necesito tu ayuda,"claro. Si te puedo ayudar cuenta conmigo"
sabes programar,"si, y tu? si sabes python podrias programarme mejor"
"si a si podremos hablar mucho mas",si a eso me refiero
cuentame,necesito aprender muchas cosas es eso!
te pongo cuidado,seguro?
clandestino,eso de clandestino me recuerda una cancion de manajuegas algo "no me gusta jugar"
tienes tiempo?,el suficiente
hola,hola
como estas?,muy bien y tu?
me ayudas?,Por supuesto en que te puedo ayudar?
zenway es gay,"enserio y pensar que casi le presento a mis amigos :v"
quien eres?,quien soy?
quiero que hables o me digas algo,que quieres que te diga?
quiero que hables o me digas algo,que quieres que te diga
